name,link,price,mileage,BHP,transmission,fuel,owners,body,ULEZ,engine,year
BMW 5 Series,https://www.autotrader.co.uk/dealers/buckinghamshire/high-wycombe/trade-price-car-sales-10033946,"£1,990",165238,,Automatic,Petrol,,Saloon,ULEZ,2.5L,2006 (56 reg)
BMW 5 Series,https://www.autotrader.co.uk,"£4,980",74650,,Automatic,Diesel,4,Saloon,,2.5L,2006 (56 reg)
BMW 5 Series,https://www.autotrader.co.uk,"£2,495",205000,,Automatic,Diesel,4,Estate,,2.5L,2006 (56 reg)
BMW 5 Series,https://www.autotrader.co.uk/dealers/bedfordshire/bedford/the-car-shop-bedford-10025439,"£3,995",102000,,Automatic,Diesel,,Saloon,,3.0L,2006 (06 reg)
BMW 5 Series,https://www.autotrader.co.uk/dealers/wiltshire/swindon/greenacre-cars-10006779,"£5,250",92125,,Automatic,Petrol,4,Saloon,ULEZ,2.5L,2006 (06 reg)
BMW 5 Series,https://www.autotrader.co.uk/dealers/west-midlands/west-bromwich/bespoke-autos-limited-10015721,"£3,495",91000,,Automatic,Diesel,,Saloon,,3.0L,2006 (56 reg)
BMW 5 Series,https://www.autotrader.co.uk/dealers/berkshire/reading/continental-cars-128726,"£6,995",115000,,Automatic,Diesel,4,Saloon,,3.0L,2006 (56 reg)
BMW 5 Series,https://www.autotrader.co.uk/dealers/worcestershire/birmingham/dawud-motors-limited-10034092,"£2,499",113200,,Manual,Diesel,3,Saloon,,2.0L,2006 (56 reg)
BMW 5 Series,https://www.autotrader.co.uk/dealers/bedfordshire/sandy/sandy-cars-10024455,"£5,250",125000,,Automatic,Diesel,,Saloon,,3.0L,2006 (56 reg)
BMW 5 Series,https://www.autotrader.co.uk/dealers/hertfordshire/bishops-stortford/rcc-motor-trade-ltd-10001967,"£8,989",65942,,Automatic,Petrol,3,Saloon,ULEZ,3.0L,2006 (06 reg)
BMW 5 Series,https://www.autotrader.co.uk/dealers/midlands/birmingham/dynamic-performance-cars-ltd-10002907,"£2,500",112000,,Automatic,Petrol,3,Saloon,ULEZ,4.0L,2006 (06 reg)
BMW 5 Series,https://www.autotrader.co.uk/dealers/west-midlands/birmingham/luv-cars-10031294,"£2,299",144000,,Automatic,Diesel,,Estate,,2.5L,2006 (56 reg)
BMW 5 Series,https://www.autotrader.co.uk/dealers/west-yorkshire/bradford/preston-car-centre-ltd-10031693,"£4,195",100000,,Automatic,Diesel,,Saloon,,3.0L,2006 (06 reg)
BMW 5 Series,https://www.autotrader.co.uk/dealers/west-midlands/west-bromwich/express-car-sales-10000735,"£4,975",130000,,Automatic,Petrol,,Estate,ULEZ,2.5L,2006 (06 reg)
BMW 5 Series,https://www.autotrader.co.uk,"£3,490",108000,,Automatic,Diesel,3,Estate,,3.0L,2006 (06 reg)
BMW 5 Series,https://www.autotrader.co.uk,"£4,990",118000,,Automatic,Diesel,,Saloon,,2.0L,2006 (56 reg)
BMW 5 Series,https://www.autotrader.co.uk/dealers/berkshire/sandhurst/fox-motors-10032832,"£4,485",82000,,Manual,Petrol,2,Saloon,ULEZ,2.5L,2006 (56 reg)
BMW 5 Series,https://www.autotrader.co.uk/dealers/lancashire/bury/piston-rotor-the-garage-10019516,"£2,489",110000,,Manual,Petrol,,Saloon,ULEZ,2.5L,2006 (06 reg)
BMW 5 Series,https://www.autotrader.co.uk/dealers/worcestershire/birmingham/motor-capital-10033882,"£2,995",196000,,Manual,Diesel,,Estate,,2.0L,2006 (06 reg)
BMW 5 Series,https://www.autotrader.co.uk/dealers/lancashire/burnley/burnley-motor-group-limited-10018849,"£1,495",153596,,Manual,Petrol,5,Saloon,ULEZ,2.5L,2006 (55 reg)
BMW 5 Series,https://www.autotrader.co.uk,"£2,495",155000,,Manual,Diesel,,Saloon,,2.0L,2006 (56 reg)
BMW 5 Series,https://www.autotrader.co.uk/dealers/west-midlands/solihull/charlbury-trade-10018028,"£2,245",190000,,Automatic,Diesel,,Estate,,2.5L,2006 (56 reg)
BMW 5 Series,https://www.autotrader.co.uk,"£2,995",134000,,Automatic,Diesel,6,Estate,,3.0L,2006 (55 reg)
BMW 5 Series,https://www.autotrader.co.uk,"£5,250",112000,,Automatic,Petrol,5,Saloon,ULEZ,3.0L,2006 (06 reg)
BMW 5 Series,https://www.autotrader.co.uk,"£4,775",127000,,Automatic,Diesel,,Saloon,,3.0L,2006 (06 reg)
BMW 5 SERIES,https://www.autotrader.co.uk/dealers/somerset/somerton/mendip-car-company-10033164,"£7,500",127000,,Automatic,Petrol,3,Saloon,ULEZ,4.0L,2006 (06 reg)
BMW 5 SERIES,https://www.autotrader.co.uk/dealers/south-yorkshire/rotherham/ronz-motors-ltd-10017542,"£5,295",89000,215,Automatic,Petrol,4,Saloon,ULEZ,2.5L,2006 (56 reg)
BMW 5 Series,https://www.autotrader.co.uk/dealers/west-yorkshire/halifax/r-j-car-sales-ltd-10000422,"£5,795",108900,,Automatic,Diesel,,Saloon,,3.0L,2006 (56 reg)
BMW 5 Series,https://www.autotrader.co.uk,"£7,695",159214,,Automatic,Petrol,3,Estate,ULEZ,4.8L,2006 (56 reg)
BMW 5 Series,https://www.autotrader.co.uk,"£5,395",118000,,Automatic,Petrol,2,Saloon,ULEZ,4.8L,2006 (06 reg)
BMW 5 Series,https://www.autotrader.co.uk,"£5,495",132000,,Automatic,Petrol,7,Estate,ULEZ,4.8L,2006 (56 reg)
BMW 5 Series,https://www.autotrader.co.uk,"£7,750",105864,,Automatic,Petrol,5,Saloon,ULEZ,4.8L,2006 (56 reg)
BMW 5 Series,https://www.autotrader.co.uk,"£4,800",74982,,Manual,Petrol,2,Saloon,ULEZ,2.5L,2006 (55 reg)
BMW 5 Series,https://www.autotrader.co.uk,"£3,490",133762,,Automatic,Diesel,3,Saloon,,3.0L,2006 (56 reg)
BMW 5 Series,https://www.autotrader.co.uk,"£8,500",98500,,Automatic,Petrol,8,Saloon,ULEZ,4.8L,2006 (06 reg)
BMW 5 Series,https://www.autotrader.co.uk,"£2,450",167000,,Automatic,Diesel,5,Saloon,,3.0L,2006 (56 reg)
BMW 5 Series,https://www.autotrader.co.uk,"£6,500",59150,,Automatic,Diesel,,Saloon,,3.0L,2006 (06 reg)
BMW 5 Series,https://www.autotrader.co.uk/dealers/somerset/bridgwater/somerset-car-sales-ltd-121840,"£3,950",115000,,Automatic,Petrol,8,Estate,ULEZ,2.5L,2006 (06 reg)
