name,link,price,mileage,BHP,transmission,fuel,owners,body,ULEZ,engine,year
BMW 2 Series,https://www.autotrader.co.uk,"£11,000",75420,,Automatic,Diesel,2,Coupe,ULEZ,2.0L,2013 (13 reg)
BMW 2 Series,https://www.autotrader.co.uk/dealers/kent/rochester/j-w-autos-10027557,"£8,000",72844,,Manual,Diesel,2,Coupe,ULEZ,2.0L,2014 (14 reg)
BMW 2 Series,https://www.autotrader.co.uk/dealers/middlesex/southall/flexy-cars-ltd-10004959,"£13,689",66208,,Automatic,Petrol,,Coupe,ULEZ,2.0L,2014 (64 reg)
BMW 2 SERIES,https://www.autotrader.co.uk/dealers/essex/chelmsford/smc-chelmsford-car-commercial-10027528,"£12,795",70000,,Manual,Petrol,,Coupe,ULEZ,2.0L,2014 (14 reg)
BMW 2 Series,https://www.autotrader.co.uk/dealers/hertfordshire/ware/prestige-cars-agent-10025945,"£13,740",73000,,Manual,Petrol,,Coupe,ULEZ,2.0L,2014 (14 reg)
BMW 2 Series,https://www.autotrader.co.uk,"£9,005",87000,,Manual,Diesel,3,Coupe,ULEZ,2.0L,2014 (14 reg)
BMW 2 Series,https://www.autotrader.co.uk/dealers/buckinghamshire/milton-keynes/binca-retail-10019731,"£15,094",62253,,Automatic,Petrol,,Coupe,ULEZ,3.0L,2014 (14 reg)
BMW 2 SERIES,https://www.autotrader.co.uk/dealers/surrey/cranleigh/surrey-specialist-cars-10031595,"£14,790",44173,181,Manual,Petrol,,Coupe,ULEZ,2.0L,2014 (14 reg)
BMW 2 SERIES,https://www.autotrader.co.uk/dealers/middlesex/harrow/just-the-car-ltd-307947,"£8,290",99218,218,Manual,Diesel,,Coupe,ULEZ,2.0L,2014 (64 reg)
BMW 2 Series,https://www.autotrader.co.uk,"£7,995",93000,,Manual,Diesel,,Coupe,ULEZ,2.0L,2014 (14 reg)
BMW 2 Series,https://www.autotrader.co.uk/dealers/london/croydon/elite-motor-company-1298386,"£13,950",28000,,Automatic,Petrol,,Coupe,ULEZ,2.0L,2014 (14 reg)
BMW 2 Series,https://www.autotrader.co.uk,"£9,190",78504,,Manual,Diesel,3,Coupe,ULEZ,2.0L,2014 (14 reg)
BMW 2 Series,https://www.autotrader.co.uk/dealers/essex/harlow/essex-prestige-10001074,"£17,989",16000,,Automatic,Petrol,,Coupe,ULEZ,2.0L,2014 (64 reg)
BMW 2 SERIES,https://www.autotrader.co.uk/dealers/essex/steeple/car-hunters-579636,"£14,995",33905,181,Manual,Petrol,,Coupe,ULEZ,2.0L,2014 (14 reg)
BMW 2 Series,https://www.autotrader.co.uk/dealers/buckinghamshire/aylesbury/pace-automotive-10006313,"£10,990",52000,,Manual,Diesel,3,Coupe,ULEZ,2.0L,2014 (14 reg)
BMW 2 Series,https://www.autotrader.co.uk/dealers/wembley-prestige-cars-ltd-212156,"£14,470",64000,,Automatic,Diesel,,Coupe,ULEZ,2.0L,2014 (14 reg)
BMW 2 SERIES,https://www.autotrader.co.uk/dealers/kent/canterbury/canterbury-motoring-world-10006391,"£10,099",66804,,Automatic,Diesel,,Coupe,ULEZ,2.0L,2014 (14 reg)
BMW 2 Series,https://www.autotrader.co.uk,"£15,499",60000,,Manual,Petrol,4,Coupe,ULEZ,3.0L,2014 (14 reg)
BMW 2 Series,https://www.autotrader.co.uk,"£16,250",61000,,Manual,Petrol,4,Coupe,ULEZ,3.0L,2014 (14 reg)
BMW 2 SERIES,https://www.autotrader.co.uk/dealers/bedfordshire/luton/tenby-car-supermarket-10005804,"£14,194",84200,241,Automatic,Petrol,,Coupe,ULEZ,2.0L,2014 (64 reg)
BMW 2 Series,https://www.autotrader.co.uk/dealers/leicestershire/leicester/dhillons-cars-leicester-ltd-10004129,"£7,995",132000,,Manual,Diesel,3,Coupe,ULEZ,2.0L,2014 (64 reg)
BMW 2 Series,https://www.autotrader.co.uk/dealers/leicestershire/leicester/smart-motors-10011741,"£8,990",92000,,Manual,Diesel,,Coupe,ULEZ,2.0L,2014 (64 reg)
BMW 2 Series,https://www.autotrader.co.uk,"£14,995",71000,,Automatic,Petrol,4,Coupe,ULEZ,3.0L,2014 (14 reg)
BMW 2 Series,https://www.autotrader.co.uk,"£12,000",46650,,Manual,Petrol,4,Coupe,ULEZ,2.0L,2014 (14 reg)
BMW 2 Series,https://www.autotrader.co.uk/dealers/kent/chatham/big-motoring-world-blue-bell-hill-10007657,"£10,300",60707,141,Manual,Diesel,2,Coupe,ULEZ,2.0L,2014 (64 reg)
BMW 2 Series,https://www.autotrader.co.uk,"£9,500",69000,,Manual,Diesel,,Coupe,ULEZ,2.0L,2014 (14 reg)
BMW 2 Series,https://www.autotrader.co.uk/dealers/kent/dartford/bexley-car-sales-96050,"£13,990",109000,,Automatic,Petrol,2,Coupe,ULEZ,3.0L,2014 (14 reg)
BMW 2 Series,https://www.autotrader.co.uk,"£5,900",130000,,Manual,Diesel,5,Coupe,ULEZ,2.0L,2014 (14 reg)
BMW 2 Series,https://www.autotrader.co.uk/dealers/west-sussex/burgess-hill/bespoke-bmw-specialists-10024046,"£15,995",83000,,Manual,Petrol,3,Coupe,ULEZ,3.0L,2014 (14 reg)
BMW 2 Series,https://www.autotrader.co.uk/dealers/warwickshire/coventry/car-store-coventry-10009355,"£14,500",42309,184,Manual,Petrol,,Coupe,ULEZ,2.0L,2014 (14 reg)
BMW 2 Series,https://www.autotrader.co.uk/dealers/essex/braintree/stormont-motor-company-22617,"£13,495",55000,,Manual,Diesel,,Coupe,ULEZ,2.0L,2014 (14 reg)
BMW 2 Series,https://www.autotrader.co.uk,"£12,000",76000,,Automatic,Petrol,3,Coupe,ULEZ,2.0L,2014 (64 reg)
BMW 2 Series,https://www.autotrader.co.uk/dealers/dorset/christchurch/prestige-cars-by-peter-cooper-bransgore-10025474,"£17,545",22000,184,Automatic,Petrol,,Coupe,ULEZ,2.0L,2014 (64 reg)
BMW 2 Series,https://www.autotrader.co.uk,"£6,000",75000,,Manual,Diesel,4,Coupe,ULEZ,2.0L,2014 (14 reg)
BMW 2 Series,https://www.autotrader.co.uk/dealers/leicestershire/leicester/mann-motors-4076,"£9,795",116523,,Manual,Diesel,,Coupe,ULEZ,2.0L,2014 (64 reg)
BMW 2 Series,https://www.autotrader.co.uk/dealers/bedfordshire/bedford/tg-performance-10032444,"£10,200",101500,,Manual,Diesel,3,Coupe,ULEZ,2.0L,2014 (64 reg)
BMW 2 Series,https://www.autotrader.co.uk/dealers/somerset/bristol/bristol-car-centre-10022963,"£11,240",68000,,Manual,Diesel,3,Coupe,ULEZ,2.0L,2014 (64 reg)
BMW 2 Series,https://www.autotrader.co.uk,"£12,750",47855,,Manual,Diesel,2,Coupe,ULEZ,2.0L,2014 (64 reg)
BMW 2 Series,https://www.autotrader.co.uk/dealers/gloucestershire/gloucester/churchfield-autos-ltd-10033761,"£11,565",71350,,Manual,Diesel,3,Coupe,ULEZ,2.0L,2014 (64 reg)
BMW 2 SERIES,https://www.autotrader.co.uk/dealers/middlesex/feltham/bcl-cars-limited-1246245,"£7,995",110000,141,Manual,Diesel,,Coupe,ULEZ,2.0L,2014 (14 reg)
BMW 2 Series,https://www.autotrader.co.uk,"£11,995",61000,,Manual,Petrol,3,Coupe,ULEZ,2.0L,2014 (64 reg)
